flight_id,carrier_code,flight_number,dep_date_time,arr_date_time,dep_airport,arr_airport,total_no_of_seats,sector_type,seat_rate,available_no_of_seats
1,AA,1001,2025-03-06 08:00:00,2025-03-06 12:00:00,JFK,LAX,180,Domestic,150,50
2,BA,2002,2025-03-07 09:30:00,2025-03-07 13:30:00,LHR,CDG,200,International,200,75
3,DL,3003,2025-03-08 14:00:00,2025-03-08 18:00:00,ATL,ORD,160,Domestic,120,30
4,UA,4004,2025-03-09 07:00:00,2025-03-09 11:00:00,SFO,SEA,150,Domestic,100,20
5,QF,5005,2025-03-10 22:00:00,2025-03-11 06:00:00,SYD,LAX,300,International,250,100
6,DL,5026,2025-06-07 04:13:00,2025-06-07 09:13:00,JFK,ATL,138,International,142,136
7,BA,1780,2025-01-08 05:59:00,2025-01-08 07:59:00,ORD,SFO,145,International,221,127
8,QF,3120,2025-10-20 21:43:00,2025-10-21 08:43:00,JFK,ORD,229,Domestic,233,182
9,BA,1868,2025-05-04 13:50:00,2025-05-05 00:50:00,ATL,CDG,133,International,129,69
10,UA,3349,2025-11-08 04:56:00,2025-11-08 10:56:00,LHR,JFK,109,International,156,47
11,QF,4981,2025-12-23 03:09:00,2025-12-23 07:09:00,CDG,ATL,257,International,257,168
12,UA,5154,2025-05-09 16:49:00,2025-05-09 20:49:00,LHR,ATL,291,International,282,111
13,AA,2587,2025-04-03 06:37:00,2025-04-03 09:37:00,CDG,JFK,180,Domestic,154,52
14,BA,5074,2025-05-16 07:56:00,2025-05-16 12:56:00,JFK,LHR,268,International,142,142
15,AA,3291,2025-09-20 06:36:00,2025-09-20 10:36:00,JFK,SFO,110,International,180,98
16,QF,3748,2025-07-17 03:24:00,2025-07-17 11:24:00,ATL,SFO,246,International,122,164
17,DL,3524,2025-09-21 12:45:00,2025-09-21 16:45:00,LAX,JFK,152,Domestic,283,144
18,QF,3466,2025-06-11 17:20:00,2025-06-11 18:20:00,ORD,LAX,116,Domestic,160,28
19,BA,7999,2025-03-12 12:46:00,2025-03-12 15:46:00,ORD,JFK,256,Domestic,272,137
20,UA,7761,2025-09-08 06:22:00,2025-09-08 12:22:00,ATL,SYD,157,International,192,134
21,UA,8883,2025-01-04 14:02:00,2025-01-04 17:02:00,SYD,SFO,278,Domestic,247,210
22,AA,3063,2025-06-21 07:27:00,2025-06-21 13:27:00,ORD,SEA,150,Domestic,118,63
23,BA,9175,2025-12-07 11:22:00,2025-12-07 15:22:00,SEA,CDG,104,International,164,12
24,QF,8502,2025-02-06 15:56:00,2025-02-06 17:56:00,JFK,LAX,175,Domestic,212,7
25,QF,9608,2025-05-18 19:47:00,2025-05-19 07:47:00,CDG,SFO,264,International,272,46